facility_name,location_type,operator,status,changing_stations,latitude,longitude,location_1,:@computed_region_yeji_bk3q,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,:@computed_region_f5dn_yrer,accessibility,restroom_type,open,hours_of_operation,website,additional_notes
"Huguenot Park Library, NYPL",Library,NYPL,Operational,Yes,40.534087,-74.193230,"{'type': 'Point', 'coordinates': [-74.19323, 40.534087]}",1,77,9,15,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm  
Wednesday: 10:00 am - 6:00 pm   
Thursday: 10:00 am - 6:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/huguenot-park'},
Queens Valley Playground,Park,NYC Parks,Operational,Yes,40.721910,-73.823900,"{'type': 'Point', 'coordinates': [-73.8239, 40.72191]}",3,65,24,25,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Ferry Point Park Zone 4,Park,NYC Parks,Operational,Yes,40.820170,-73.826300,"{'type': 'Point', 'coordinates': [-73.8263, 40.82017]}",5,28,12,43,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Breukelen Playground,Park,NYC Parks,Operational,Yes,40.653730,-73.894000,"{'type': 'Point', 'coordinates': [-73.894, 40.65373]}",2,42,25,5,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Roebling Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.706110,-73.962400,"{'type': 'Point', 'coordinates': [-73.9624, 40.70611]}",2,56,38,36,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
645 Fifth Avenue POPS,Privately Owned Public Space,Oxford Properties,Operational,No,40.759207,-73.976087,"{'type': 'Point', 'coordinates': [-73.976087, 40.759207]}",4,10,51,11,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,Everyday 8:00 am-10:00 pm,,
"Brownsville Library, BPL",Library,BPL,Operational,Yes,40.671535,-73.908605,"{'type': 'Point', 'coordinates': [-73.908605, 40.671535]}",2,46,17,55,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/brownsville'},
"Rosedale Library, QPL",Library,QPL,Operational,Yes,40.659972,-73.739912,"{'type': 'Point', 'coordinates': [-73.739912, 40.659972]}",3,63,47,63,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/rosedale'},
"Crown Heights Library, BPL",Library,BPL,Operational,Yes,40.661198,-73.948104,"{'type': 'Point', 'coordinates': [-73.948104, 40.661198]}",2,44,11,17,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/crown-heights'},
Mill Basin Marina,Park,NYC Parks Concessionaire,Operational,No,40.612465,-73.901723,"{'type': 'Point', 'coordinates': [-73.901723, 40.612465]}",2,38,8,5,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,9:00am-5:00pm,,
"Jackson Heights Library, QPL",Library,QPL,Operational,"""Yes, in single-stall all gender restroom only""",40.750204,-73.885071,"{'type': 'Point', 'coordinates': [-73.885071, 40.750204]}",3,73,5,65,,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/jackson-heights'},"Yes, a key is needed to enter"
Owl's Head Park,Park,NYC Parks,Operational,Yes,40.639300,-74.032000,"{'type': 'Point', 'coordinates': [-74.032, 40.6393]}",2,41,44,10,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Sperandeo Brothers Playground,Park,NYC Parks,Operational,Yes,40.677630,-73.884300,"{'type': 'Point', 'coordinates': [-73.8843, 40.67763]}",2,47,37,45,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Abigail Playground,Park,NYC Parks,Operational,Yes,40.817320,-73.904800,"{'type': 'Point', 'coordinates': [-73.9048, 40.81732]}",5,23,43,49,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Corlears Hook Park,Park,NYC Parks,Operational,Yes,40.711750,-73.979800,"{'type': 'Point', 'coordinates': [-73.9798, 40.71175]}",4,4,50,70,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Highland Park Zone 2,Park,NYC Parks,Operational,No,40.683160,-73.892900,"{'type': 'Point', 'coordinates': [-73.8929, 40.68316]}",2,47,37,45,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Sheepshead Bay Library, BPL",Library,BPL,Operational,No,40.587022,-73.955375,"{'type': 'Point', 'coordinates': [-73.955375, 40.587022]}",2,36,15,32,Partially Accessible,Multi-Stall W/M Restrooms,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/sheepshead-bay'},
Raymond O’Connor Park,Park,NYC Parks,Operational,No,40.771010,-73.779000,"{'type': 'Point', 'coordinates': [-73.779, 40.77101]}",3,69,20,26,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
Captain Tilly Park,Park,NYC Parks,Operational,No,40.711440,-73.798200,"{'type': 'Point', 'coordinates': [-73.7982, 40.71144]}",3,65,24,25,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Dutch Kills Playground,Park,NYC Parks,Operational,Yes,40.757740,-73.933500,"{'type': 'Point', 'coordinates': [-73.9335, 40.75774]}",3,72,33,39,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
"Baisley Park Library, QPL",Library,QPL,Operational,Yes,40.680320,-73.791680,"{'type': 'Point', 'coordinates': [-73.79168, 40.68032]}",3,71,46,41,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/baisley-park'},"Yes, a key is needed to enter"
Canarsie Park Zone 1,Park,NYC Parks,Operational,Yes,40.628970,-73.896000,"{'type': 'Point', 'coordinates': [-73.896, 40.62897]}",2,42,8,5,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Langston Hughes Playground,Park,NYC Parks,Operational,Yes,40.812210,-73.946400,"{'type': 'Point', 'coordinates': [-73.9464, 40.81221]}",4,20,36,18,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
"Middle Village Library, QPL",Library,QPL,Operational,Yes,40.712942,-73.880861,"{'type': 'Point', 'coordinates': [-73.880861, 40.712942]}",3,62,34,54,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/middle-village'},"Yes, a key is needed to enter"
Mill Pond Indoor Tennis,Park,NYC Parks Concessionaire,Operational,,40.824175,-73.931564,"{'type': 'Point', 'coordinates': [-73.931564, 40.824175]}",5,27,35,50,,,Year Round,Park Hours,,
"Washington Heights Library, NYPL",Library,NYPL,Operational,Yes,40.834557,-73.939712,"{'type': 'Point', 'coordinates': [-73.939712, 40.834557]}",4,21,39,47,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/washington-heights'},
E.M.T. Christopher J. Prescott Playground,Park,NYC Parks,Operational,Yes,40.522490,-74.185800,"{'type': 'Point', 'coordinates': [-74.1858, 40.52249]}",1,77,9,15,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Canarsie Park Zone 2,Park,NYC Parks,Operational,,40.626151,-73.900317,"{'type': 'Point', 'coordinates': [-73.900317, 40.626151]}",2,42,8,5,,,Year Round,"8am-4pm, Open later seasonally",,
Surf Playground,Park,NYC Parks,Operational,Yes,40.573670,-73.992700,"{'type': 'Point', 'coordinates': [-73.9927, 40.57367]}",2,35,45,21,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"City Island Library, NYPL",Library,NYPL,Operational,Yes,40.847700,-73.786368,"{'type': 'Point', 'coordinates': [-73.786368, 40.8477]}",5,28,12,43,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 6:00 pm
Wednesday: 11:00 am - 6:00 pm
Thursday: 11:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/city-island'},
Tavern On The Green,Park,NYC Parks Concessionaire,Operational,"""Yes, in single-stall all gender restroom only""",40.772206,-73.977781,"{'type': 'Point', 'coordinates': [-73.977781, 40.772206]}",4,13,19,19,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,6:00am-1:00am,,
Dry Harbor Playground,Park,NYC Parks,Operational,Yes,40.702320,-73.868100,"{'type': 'Point', 'coordinates': [-73.8681, 40.70232]}",3,60,34,54,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Baychester Library, NYPL",Library,NYPL,Operational,No,40.870762,-73.829317,"{'type': 'Point', 'coordinates': [-73.829317, 40.870762]}",5,28,2,43,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/baychester'},
61 West 62nd Street POPS,Privately Owned Public Space,Lincoln Center for the Performing Arts,Operational,Yes,40.771123,-73.982838,"{'type': 'Point', 'coordinates': [-73.982838, 40.771123]}",4,12,10,20,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,Monday to Friday: 8:00 am-10:00 pm; Saturday & Sunday: 9:00 am-10:00 pm,,Located within the David Rubenstein Atrium at Lincoln Center.
